Book Name,Genre,Category,Author Type,Language,Rating
Atomic Habits,Self-Help,Professional,Foreign,English,Best
The Power of Habit,Self-Help,Professional,Foreign,English,Best
Think and Grow Rich,Self-Help,Adult,Foreign,English,Best
Rich Dad Poor Dad,Self-Help,Adult,Foreign,English,Best
Deep Work,Self-Help,Professional,Foreign,English,Best
The 7 Habits of Highly Effective People,Self-Help,Professional,Foreign,English,Best
How to Win Friends and Influence People,Self-Help,Adult,Foreign,English,Best
The Power of Now,Self-Help,Old Age,Foreign,English,Good
Mindset,Self-Help,Students,Foreign,English,Best
Grit,Self-Help,Students,Foreign,English,Good
The One Thing,Self-Help,Professional,Foreign,English,Best
Essentialism,Self-Help,Professional,Foreign,English,Best
Eat That Frog!,Self-Help,Students,Foreign,English,Good
Awaken the Giant Within,Self-Help,Adult,Foreign,English,Best
Ikigai,Self-Help,Old Age,Foreign,English,Best
The Monk Who Sold His Ferrari,Self-Help,Adult,Foreign,English,Best
You Can Win,Self-Help,Students,Local,English,Best
Ignited Minds,Self-Help,Students,Local,English,Best
India 2020,Self-Help,Students,Local,English,Good
My Journey,Biography,Students,Local,English,Good
Success Blueprint,Self-Help,Students,Local,Tamil,Best
Career Mastery Guide,Self-Help,Professional,Local,English,Good
Life Lessons for Youth,Self-Help,Students,Local,Hindi,Best
Personal Growth Handbook,Self-Help,Adult,Local,Tamil,Good
Leadership Excellence,Self-Help,Professional,Local,English,Best
Student Success Roadmap,Self-Help,Students,Local,English,Best
Inspiring Life Journey,Biography,Adult,Local,Tamil,Good
Visionary Leader,Biography,Professional,Local,English,Best
Journey to Success,Biography,Students,Local,Hindi,Good
Dreams into Reality,Biography,Students,Local,English,Best
Book Name,Genre,Category,Author Type,Language,Rating
Path to Excellence,Self-Help,Students,Local,English,Best
Future Ready,Self-Help,Students,Local,English,Good
Master Your Time,Self-Help,Professional,Local,English,Best
The Success Formula,Self-Help,Adult,Local,English,Good
Beyond Limits,Self-Help,Professional,Local,English,Best
Positive Mindset,Self-Help,Adult,Local,English,Average
Career Compass,Self-Help,Students,Local,English,Best
Winning Habits,Self-Help,Professional,Local,English,Good
Smart Learning,Self-Help,Students,Local,English,Best
The Growth Journey,Self-Help,Adult,Local,English,Good
Student Power,Self-Help,Students,Local,Tamil,Best
